date,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,temperature,humidity,wind_speed,traffic_level,traffic_numeric,location,month,alert,decision
2020-11-25 01:00:00,2616.88,2.18,70.6,13.59,38.62,364.61,411.73,28.63,1,21.10099846390169,72.11918492887351,6.445945945945946,Low,1,Connaught Place,11,Normal,Normal
2020-11-25 02:00:00,3631.59,23.25,89.11,0.33,54.36,420.96,486.21,41.04,2,21.983529411764707,70.37428475260855,7.483680437009219,Low,1,Anand Vihar,11,Normal,Normal
2020-11-25 03:00:00,4539.49,52.75,100.08,1.11,68.67,463.68,541.95,49.14,3,22.81036398999722,65.90406006674083,7.2394439010758695,Low,1,Dwarka,11,Normal,Normal
2020-11-25 04:00:00,4539.49,50.96,111.04,6.44,78.2,454.81,534.0,48.13,4,25.8162923231646,57.55652465615565,11.023622845555932,Low,1,Rohini,11,Normal,Normal
2020-11-25 05:00:00,4379.27,42.92,117.9,17.17,87.74,448.14,529.19,46.61,5,27.590425531914892,51.96772046589018,11.169626639757821,Low,1,Saket,11,Normal,Normal
2020-11-25 06:00:00,3898.62,28.39,117.9,40.05,101.09,437.25,511.79,42.05,6,28.733052039381153,44.0361869895804,11.000254201383985,Low,1,Karol Bagh,11,Normal,Normal
2020-11-25 07:00:00,1949.31,14.53,105.56,83.69,185.01,312.76,349.2,12.79,7,30.02519577800477,44.25017041581459,12.436673553719007,High,3,Lajpat Nagar,11,Normal,Normal
2020-11-25 08:00:00,1508.71,11.62,112.41,87.98,217.44,275.53,303.47,6.59,8,30.54609929078014,42.0564952638701,12.630664857530528,High,3,Chandni Chowk,11,Normal,Normal
2020-11-25 09:00:00,1361.85,7.04,109.67,95.84,213.62,263.51,289.86,6.02,9,30.800646703219456,37.3083849184018,12.135867884750526,High,3,Pitampura,11,Normal,Normal
2020-11-25 10:00:00,1602.17,3.1,93.22,104.43,152.59,271.25,302.27,12.16,10,30.67644151565074,41.397626112759646,12.92600598603259,High,3,Vasant Kunj,11,Normal,Normal
2020-11-25 11:00:00,2136.23,1.27,94.59,86.55,103.95,284.51,324.34,21.28,11,30.037908496732026,44.09093882891724,11.667490118577074,Medium,2,Mayur Vihar,11,Normal,Normal
2020-11-25 12:00:00,2590.18,0.19,109.67,50.78,82.02,287.83,336.0,27.87,12,28.99619718309859,44.148330750809976,8.383954114148137,Medium,2,Janakpuri,11,Normal,Normal
2020-11-25 13:00:00,3017.43,0.6,120.64,19.67,69.62,295.37,354.19,35.47,13,27.37256267409471,52.86694531522118,7.725339043540329,Medium,2,Rajouri Garden,11,Normal,Normal
2020-11-25 14:00:00,3471.37,6.65,117.9,3.0,65.8,325.89,402.37,46.1,14,26.39471544715447,55.378609190727936,6.866541353383458,Medium,2,Okhla,11,Normal,Normal
2020-11-25 15:00:00,3898.62,16.09,105.56,0.25,63.9,363.16,456.38,50.66,15,24.87660187185025,60.18541996830428,4.223679603151444,Medium,2,Narela,11,Normal,Normal
2020-11-25 16:00:00,4058.84,19.67,98.71,0.08,59.61,387.52,490.96,42.05,16,24.770849880857824,60.918156535558204,6.012453454695904,Medium,2,Punjabi Bagh,11,Normal,Normal
2020-11-25 17:00:00,3898.62,18.11,91.85,0.11,52.93,394.51,498.87,31.92,17,24.08155186064925,63.00833002776676,5.51926196269262,High,3,Hauz Khas,11,Normal,Normal
2020-11-25 18:00:00,3417.97,13.19,83.63,0.31,42.92,369.0,461.24,20.52,18,22.99123185281012,67.37566518049762,3.8814097934421494,High,3,Shahdara,11,Normal,Normal
2020-11-25 19:00:00,2803.8,7.15,74.71,0.89,33.85,327.49,400.17,12.16,19,23.090585443037973,66.43745051464767,5.38163430420712,High,3,Kalkaji,11,Normal,Normal
2020-11-25 20:00:00,2456.67,4.75,65.8,1.4,30.99,303.81,365.32,9.63,20,22.553571428571427,68.43231441048034,5.358916011584609,High,3,Patel Nagar,11,Normal,Normal
2020-11-25 21:00:00,2269.75,4.25,58.26,1.39,30.52,285.16,340.62,8.74,21,21.70780346820809,71.76659436008677,4.034008215962441,Low,1,Connaught Place,11,Normal,Normal
2020-11-25 22:00:00,2162.93,5.42,53.47,0.83,30.99,272.18,320.68,7.92,22,21.704554615074567,70.59200968523002,5.557755632582322,Low,1,Anand Vihar,11,Normal,Normal
2020-11-25 23:00:00,2136.23,8.16,49.35,0.31,31.47,264.01,305.06,7.09,23,21.21603927986907,71.75963904840033,5.708213644524236,Low,1,Dwarka,11,Normal,Normal
2020-11-26 00:00:00,2189.64,13.19,46.61,0.07,33.38,260.05,296.45,7.28,0,20.555508354573774,74.76374716553288,4.266439151902411,Low,1,Rohini,11,Normal,Normal
2020-11-26 01:00:00,2483.37,23.92,45.93,0.01,39.1,268.08,305.4,10.26,1,21.10099846390169,72.11918492887351,6.445945945945946,Low,1,Saket,11,Normal,Normal
2020-11-26 02:00:00,3284.45,47.83,51.41,0.02,53.88,309.14,359.04,17.48,2,21.983529411764707,70.37428475260855,7.483680437009219,Low,1,Karol Bagh,11,Normal,Normal
2020-11-26 03:00:00,3791.81,67.06,60.32,1.1,73.43,337.8,398.42,23.81,3,22.81036398999722,65.90406006674083,7.2394439010758695,Low,1,Lajpat Nagar,11,Normal,Normal
2020-11-26 04:00:00,3097.53,46.94,71.29,8.58,96.32,300.52,353.24,24.83,4,25.8162923231646,57.55652465615565,11.023622845555932,Low,1,Chandni Chowk,11,Normal,Normal
2020-11-26 05:00:00,2643.59,34.42,72.66,20.74,103.95,264.39,315.31,28.37,5,27.590425531914892,51.96772046589018,11.169626639757821,Low,1,Pitampura,11,Normal,Normal
2020-11-26 06:00:00,2109.53,23.69,67.86,33.26,108.72,208.0,253.85,26.6,6,28.733052039381153,44.0361869895804,11.000254201383985,Low,1,Vasant Kunj,11,Normal,Normal
2020-11-26 07:00:00,1094.82,9.95,49.35,66.52,90.6,115.32,139.51,12.79,7,30.02519577800477,44.25017041581459,12.436673553719007,High,3,Mayur Vihar,11,Normal,Normal
2020-11-26 08:00:00,894.55,7.49,42.5,82.25,83.92,92.77,111.59,10.13,8,30.54609929078014,42.0564952638701,12.630664857530528,High,3,Janakpuri,11,Normal,Normal
2020-11-26 09:00:00,881.2,7.26,44.55,85.12,92.51,88.53,107.12,10.64,9,30.800646703219456,37.3083849184018,12.135867884750526,High,3,Rajouri Garden,11,Normal,Normal
2020-11-26 10:00:00,1308.44,9.16,63.06,67.23,100.14,106.99,132.1,17.23,10,30.67644151565074,41.397626112759646,12.92600598603259,High,3,Okhla,11,Normal,Normal
2020-11-26 11:00:00,2056.12,11.51,91.85,30.76,95.37,138.22,175.22,26.85,11,30.037908496732026,44.09093882891724,11.667490118577074,Medium,2,Narela,11,Normal,Normal
2020-11-26 12:00:00,2670.29,23.92,106.93,2.26,84.88,155.65,203.84,33.44,12,28.99619718309859,44.148330750809976,8.383954114148137,Medium,2,Punjabi Bagh,11,Normal,Normal
2020-11-26 13:00:00,3097.53,42.92,94.59,0.0,74.39,169.52,227.04,41.04,13,27.37256267409471,52.86694531522118,7.725339043540329,Medium,2,Hauz Khas,11,Normal,Normal
2020-11-26 14:00:00,3578.19,52.75,85.0,0.0,69.62,202.21,276.96,50.16,14,26.39471544715447,55.378609190727936,6.866541353383458,Medium,2,Shahdara,11,Normal,Normal
2020-11-26 15:00:00,3952.03,53.64,85.0,0.0,64.85,234.37,325.87,49.14,15,24.87660187185025,60.18541996830428,4.223679603151444,Medium,2,Kalkaji,11,Normal,Normal
2020-11-26 16:00:00,4005.43,47.83,85.0,0.0,59.13,245.5,343.52,39.01,16,24.770849880857824,60.918156535558204,6.012453454695904,Medium,2,Patel Nagar,11,Normal,Normal
2020-11-26 17:00:00,3685.0,37.1,84.31,0.0,51.98,229.77,319.4,30.4,17,24.08155186064925,63.00833002776676,5.51926196269262,High,3,Connaught Place,11,Normal,Normal
2020-11-26 18:00:00,2723.69,20.56,78.14,0.12,42.92,174.77,238.31,19.76,18,22.99123185281012,67.37566518049762,3.8814097934421494,High,3,Anand Vihar,11,Normal,Normal
2020-11-26 19:00:00,1695.63,4.47,67.17,2.5,32.42,114.3,149.46,11.65,19,23.090585443037973,66.43745051464767,5.38163430420712,High,3,Dwarka,11,Normal,Normal
2020-11-26 20:00:00,1308.44,0.82,54.84,9.39,26.7,90.01,113.31,9.88,20,22.553571428571427,68.43231441048034,5.358916011584609,High,3,Rohini,11,Normal,Normal
2020-11-26 21:00:00,1134.87,0.18,47.3,18.06,27.66,82.03,100.6,9.5,21,21.70780346820809,71.76659436008677,4.034008215962441,Low,1,Saket,11,Normal,Normal
2020-11-26 22:00:00,974.66,0.03,39.76,31.11,29.56,77.06,92.05,8.99,22,21.704554615074567,70.59200968523002,5.557755632582322,Low,1,Karol Bagh,11,Normal,Normal
2020-11-26 23:00:00,894.55,0.01,34.62,38.98,28.37,73.1,86.42,8.61,23,21.21603927986907,71.75963904840033,5.708213644524236,Low,1,Lajpat Nagar,11,Normal,Normal
2020-11-27 00:00:00,894.55,0.01,33.59,38.98,28.13,71.17,84.01,8.61,0,20.555508354573774,74.76374716553288,4.266439151902411,Low,1,Chandni Chowk,11,Normal,Normal
2020-11-27 01:00:00,1068.12,0.15,40.44,28.61,32.42,77.66,93.52,10.39,1,21.10099846390169,72.11918492887351,6.445945945945946,Low,1,Pitampura,11,Normal,Normal
2020-11-27 02:00:00,1441.96,2.65,55.52,10.01,40.53,93.87,117.18,14.95,2,21.983529411764707,70.37428475260855,7.483680437009219,Low,1,Vasant Kunj,11,Normal,Normal
2020-11-27 03:00:00,1668.93,15.42,53.47,11.36,47.21,100.66,128.85,17.99,3,22.81036398999722,65.90406006674083,7.2394439010758695,Low,1,Mayur Vihar,11,Normal,Normal
2020-11-27 04:00:00,1708.98,23.47,47.3,23.96,54.84,101.94,132.24,20.77,4,25.8162923231646,57.55652465615565,11.023622845555932,Low,1,Janakpuri,11,Normal,Normal
2020-11-27 05:00:00,1655.58,22.35,45.93,37.91,61.99,102.47,134.15,23.56,5,27.590425531914892,51.96772046589018,11.169626639757821,Low,1,Rajouri Garden,11,Normal,Normal
2020-11-27 06:00:00,1455.31,16.99,45.24,57.94,66.76,96.21,124.64,22.29,6,28.733052039381153,44.0361869895804,11.000254201383985,Low,1,Okhla,11,Normal,Normal
2020-11-27 07:00:00,947.95,8.38,33.24,89.41,54.84,65.04,82.8,14.57,7,30.02519577800477,44.25017041581459,12.436673553719007,High,3,Narela,11,Normal,Normal
2020-11-27 08:00:00,814.44,5.76,29.13,107.29,48.16,60.21,75.19,13.05,8,30.54609929078014,42.0564952638701,12.630664857530528,High,3,Punjabi Bagh,11,Normal,Normal
2020-11-27 09:00:00,814.44,4.69,30.5,117.3,49.11,66.66,81.87,14.06,9,30.800646703219456,37.3083849184018,12.135867884750526,High,3,Hauz Khas,11,Normal,Normal
2020-11-27 10:00:00,1148.22,5.53,45.93,107.29,52.93,84.8,105.35,19.0,10,30.67644151565074,41.397626112759646,12.92600598603259,High,3,Shahdara,11,Normal,Normal
2020-11-27 11:00:00,1655.58,5.64,72.66,75.1,53.88,105.82,134.28,24.57,11,30.037908496732026,44.09093882891724,11.667490118577074,Medium,2,Kalkaji,11,Normal,Normal
2020-11-27 12:00:00,2082.82,1.69,104.19,30.4,51.02,118.21,151.31,28.88,12,28.99619718309859,44.148330750809976,8.383954114148137,Medium,2,Patel Nagar,11,Normal,Normal
2020-11-27 13:00:00,2403.26,2.68,112.41,7.06,50.07,135.62,173.83,34.45,13,27.37256267409471,52.86694531522118,7.725339043540329,Medium,2,Connaught Place,11,Normal,Normal
2020-11-27 14:00:00,2510.07,2.18,101.45,7.96,49.59,154.47,198.73,39.52,14,26.39471544715447,55.378609190727936,6.866541353383458,Medium,2,Anand Vihar,11,Normal,Normal
